특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
매출액규모별,5천만원~1억원 미만,소계,소계,2021,한달 영업일수,25~26일 (%),48.6,5.8,13.6
매출액규모별,5천만원~1억원 미만,소계,소계,2021,한달 영업일수,27~28일 (%),13.5,-5.6,-29.3
매출액규모별,5천만원~1억원 미만,소계,소계,2021,한달 영업일수,29~30일 (%),30.2,-2.2,-6.8
매출액규모별,5천만원~1억원 미만,소계,소계,2021,한달 영업일수,평균 (일),27,-0.2,-0.7
매출액규모별,1억원~5억원 미만,소계,소계,2021,1일 영업시간,12시간 미만 (%),67.3,11.5,20.6
매출액규모별,1억원~5억원 미만,소계,소계,2021,1일 영업시간,12시간 (%),18.4,-8.1,-30.6
매출액규모별,1억원~5억원 미만,소계,소계,2021,1일 영업시간,12시간 초과 (%),14.3,-3.4,-19.2
매출액규모별,1억원~5억원 미만,소계,소계,2021,1일 영업시간,평균 (h),10.6,-0.6,-5.4
매출액규모별,1억원~5억원 미만,소계,소계,2021,한달 영업일수,24일 이하 (%),4,-0.3,-7
매출액규모별,1억원~5억원 미만,소계,소계,2021,한달 영업일수,25~26일 (%),40.7,4.7,13.1
매출액규모별,1억원~5억원 미만,소계,소계,2021,한달 영업일수,27~28일 (%),16.2,-3.3,-16.9
매출액규모별,1억원~5억원 미만,소계,소계,2021,한달 영업일수,29~30일 (%),39.1,-1.1,-2.7
매출액규모별,1억원~5억원 미만,소계,소계,2021,한달 영업일수,평균 (일),27.6,-0.1,-0.4
매출액규모별,5억원 이상,소계,소계,2021,1일 영업시간,12시간 미만 (%),53.1,12.6,31.1
매출액규모별,5억원 이상,소계,소계,2021,1일 영업시간,12시간 (%),22.3,-9.7,-30.3
매출액규모별,5억원 이상,소계,소계,2021,1일 영업시간,12시간 초과 (%),24.6,-3,-10.9
매출액규모별,5억원 이상,소계,소계,2021,1일 영업시간,평균 (h),11.7,-0.8,-6.4
매출액규모별,5억원 이상,소계,소계,2021,한달 영업일수,24일 이하 (%),4.4,1,29.4
매출액규모별,5억원 이상,소계,소계,2021,한달 영업일수,25~26일 (%),23.3,2,9.4
